Kode,village,longitude,latitude,EC,TDS,F,NO3,pH
229,Kadam,78.77594,19.09661,1705,1091.2,1.7,155.015,8.32
230,Khanapur,78.66213,19.04709,719,460.16,1.39,761.788,8.4
231,Kubeer,77.94583,19.2495,669,428.16,0.81,403.039,8.36
232,Kuntala,78.1004,19.1693,1369,876.16,1.33,4318.275,8.3
233,Laxmanchanda,78.46086,19.01706,552,353.28,0.45,3317.321,8.02
234,Abdullapur,78.0378,18.9703,925,592,0.48,4034.819,8.16
235,Lokeswaram,78.0899,19.0245,411,263.04,0.91,713.069,8.32
236,Mamada,78.52292,19.07797,720,460.8,1.43,615.631,8.1
237,Nirmal,78.34353,19.09242,775,496,0.96,4.429,8.09
238,Beeravelly,78.26197,19.13964,1240,793.6,1.4,735.214,8.21
239,Bhosi,77.87944,19.10933,1152,737.28,0.27,1833.606,8.17
240,perkit,78.315,18.808,1150,736,0.93,1877.896,7.8
241,Bheemgal,78.442,18.715,2310,1478.4,0.59,2447.023,7.92
242,Bodhan,77.8925,18.6705,1379,882.56,0.56,3122.445,7.17
243,Ramadugu,78.309,18.613,1069,684.16,1.31,3786.795,7.23
244,Yanampally,78.249,18.627,593,379.52,0.76,2192.355,7.62
245,Gannaram,78.23489,18.5125,1266,810.24,0.6,1490.359,7.5
246,Jakrampally,78.2716,18.7072,1109,709.76,0.86,859.226,7.8
247,Inayathnagar,78.56488,18.70868,850,544,1.92,97.438,7.45
248,Kallur,77.77381,18.51596,1950,1248,0.44,265.74,7.06
249,Morthad,78.449,18.826,586,375.04,0.5,8171.505,7.83
250,Manchippa,78.114,18.539,1105,707.2,0.49,1359.703,7.96
251,Mupkal,78.36162,18.913,953,609.92,0.74,434.042,7.25
252,Ailapoor,78.114,18.853,1176,752.64,0.93,1140.468,8.37
253,Nutpally,78.2182,18.9365,926,592.64,0.64,5115.495,7
254,Velmal,78.143,18.831,1180,755.2,0.42,2318.582,7.75
255,Arsapally,78.06863,18.68534,1058,677.12,0.92,3919.665,7.91
256,Dupally,77.991,18.733,850,544,1.92,97.438,7.45
257,Rayakur,77.8575,18.6102,2060,1318.4,1.27,1007.598,7.55
258,Peddavolgote,78.426,18.604,2350,1504,0.89,1463.785,7.14
259,Ankushpur,78.396,18.811,569,364.16,1.03,1705.165,7.75
260,Vailpoor,78.386,18.773,1149,735.36,0.72,420.755,7.75
261,Varni,77.903,18.543,700,448,1.05,31.003,7.9
262,Yedapalli,77.954,18.678,773,494.72,1.64,4.429,7.97
263,Dharmaram,79.1872,18.7453,1225,784,1.36,2280.935,8.24
264,Eligedu,79.26094,18.55216,721,461.44,1.47,1567.866,8.16
265,Julapalli,79.2492,18.6205,1751,1120.64,3.66,4.429,8.21
266,Odella,79.46,18.4528,1749,1119.36,0.31,1031.957,7.98
267,Peddapalli,79.39,18.6017,1315,841.6,1.57,1076.247,7.07
268,Alur,78.064,17.324,426,272.64,1.33,775.075,8.16
269,Amangal,78.5425,16.8442,1898,1214.72,0.54,44.29,7.7
270,Gachibowli,78.368,17.43,1104,706.56,1.39,39.861,8.25
271,Kandukur,78.48,17.08,847,542.08,1.17,5159.785,8
272,Keshampet,78.32938,16.94395,2040,1305.6,0.54,2059.485,7.99
273,Kothur,78.2879,17.1587,2830,1811.2,0.41,2148.065,7.77
274,Madgula,78.68788,16.84334,1030,659.2,1.07,1173.685,7.32
275,Maheswaram,78.439,17.135,1168,747.52,0.84,996.525,7.99
276,Manchal,78.739,17.16,2280,1459.2,1.34,279.027,8.01
277,Mangalpally,78.598,17.22,958,613.12,1.35,969.951,8.29
278,Moinabad,78.29,17.33,974,623.36,0.64,1085.105,7.98
279,Palmokole,78.301,17.204,1841,1178.24,0.82,863.655,7.82
280,Rajender Nagar,78.405,17.316,2990,1913.6,1.39,48.719,7.11
281,Shadnagar,78.18462,17.06319,1625,1040,1.12,101.867,8.05
282,Shahbad,78.104,17.202,658,421.12,1.01,775.075,7.44
283,Shankarpalli,78.131,17.453,1090,697.6,0.33,819.365,8.02
284,Talakondapalli,78.413,16.89,896,573.44,2.05,792.791,7.52
285,Yacharam,78.67,17.05,212,135.68,0.08,22.145,8.03
286,Jogipet,78.07297,17.83581,1126,720.64,0.71,863.655,7.95
287,Gummadiddla,78.3679,17.6849,1207,772.48,0.7,57.577,7.76
288,Borapatla,78.1571,17.6713,609,389.76,1.21,39.861,7.91
289,Nasthipur,78.2185,17.7047,654,418.56,1.5,4096.825,7.55
290,Ootla,78.3194,17.6309,1174,751.36,1.2,1217.975,7.67
291,Bachapally,77.868,18.1386,1190,761.6,0.72,323.317,7.58
292,Meerkhanpally,77.8515,18.1237,1012,647.68,0.83,181.589,8.09
293,Byathole,78.1892,17.6111,1438,920.32,1.54,1623.229,8.13
294,Isnapur,78.2006,17.5519,1796,1149.44,1.71,39.861,7.67
295,Patancheruvu,78.27017,17.52583,807,516.48,1.25,1873.467,8.06
296,R.C.Puram,78.3003,17.5091,977,625.28,1.28,101.867,8.37
297,Gajwel,78.6847,17.8447,805,515.2,2.38,597.915,8.29
298,Munigadapa,78.8242,17.8133,1415,905.6,0.7,163.873,7.64
299,Bhoompalli,78.5972,18.1208,1029,658.56,1.36,465.045,8.33
300,Mulugu,78.6333,17.7214,590,377.6,2.67,124.012,8.25
301,Rampur,78.9925,18.0888,630,403.2,1.12,53.148,8.06
302,Raipole,78.6181,17.9256,513,328.32,1.37,1085.105,7.87
303,Siddipet,78.8375,18.1033,655,419.2,3.03,48.719,8
304,Majidpalli,78.5866,17.8233,727,465.28,1.64,48.719,7.89
305,Narmal,78.55257,18.28373,1290,825.6,1.02,522.622,8.24
306,Illanthukunta,78.95639,18.31194,835,534.4,1.03,3963.955,8.11
307,Nizamabad,78.7189,18.4703,608,389.12,1.19,4327.133,7.24
308,Sircilla(urban),78.78308,18.35555,1650,1056,0.57,3485.623,7.19
309,Vemulawada(rural),78.86389,18.48642,2230,1427.2,1.48,1545.721,7.26
310,Racherla Boppaspur,78.61681,18.3772,909,581.76,0.86,3848.801,7.09
311,Kodur,79.62284,17.31655,805,515.2,1.25,84.151,8.52
312,Nagaram,79.49697,17.38669,890,569.6,0.92,438.471,8.24
313,B. Chandupatla,79.71867,17.14175,947,606.08,1.05,952.235,8.8
314,Raghunadhapalem,79.88532,16.75354,1555,995.2,0.78,53.148,8.48
315,Mellacheruvu,79.90452,16.83738,736,471.04,0.35,3388.185,8.33
316,Nuthankal,79.69183,17.33383,984,629.76,0.92,2280.935,8.69
317,Thungathurthi,79.59122,17.39874,833,533.12,1.41,75.293,9.02
318,Bantwaram,77.696,17.445,632,404.48,476,4931.692,7.98
319,Basheerabad,77.444,17.211,1536,983.04,709,1191.401,7.55
320,Bomraspet,77.71942,17.164,825,528,944,553.625,7.11
321,Dharoor,77.774,17.303,1143,731.52,964,2602.038,7.59
322,Doma,77.836,17.088,906,579.84,767,6887.095,7.62
323,Doulathabad,77.5415,16.9983,1263,808.32,1.12,3565.345,7.11
324,Kodangal,77.6011,17.0992,1703,1089.92,832,1129.395,7.33
325,Rudraram (S),77.511,17.133,1663,1064.32,408,190.447,7.34
326,Marpalli,77.771,17.529,477,305.28,653,356.756,9.31
327,Vattinenipally(s),77.983,17.445,550,352,0.48,7108.545,7.98
328,Parigi,77.88,17.18,1056,675.84,265,447.329,7.15
329,Peddamul,77.66,17.33,1594,1020.16,603,5463.172,7.31
330,Pudur,77.957,17.264,284,181.76,522,3467.907,7.8
331,Tandur,77.591,17.251,1084,693.76,1.45,403.039,7.62
332,Vikarabad(S),77.914,17.321,615,393.6,325,2148.065,7.15
333,Yalal,77.64,17.2,351,224.64,1.47,4318.275,7.02
334,Atmakuru,77.806,16.337,1074,687.36,1.7,775.075,7.74
335,Ghanapur,78.04645,16.56306,1587,1015.68,0.9,2619.754,7.72
336,Gopalpet,78.1348,16.3786,2900,1856,1.05,2551.104,7.84
337,Kanaipally,77.96025,16.38826,1361,871.04,546,212.592,7.46
